Pass_Position,NAME,TEAM,Completed Pass,Total Pass
438,KIKE BARJA,CA OSASUNA,78,90
439,DENIS SUÁREZ,VILLARREAL CF,76,89
440,LUCIEN AGOUMÉ,SEVILLA FC,68,88
440,JESÚS SANTIAGO PÉREZ,GETAFE CF,69,88
442,RAFA MIR,SEVILLA FC,60,85
442,URKO GONZÁLEZ,REAL SOCIEDAD,67,85
444,LÁZARO VINÍCIUS MARQUES,UD ALMERÍA,65,84
445,MOMO MBAYE,CÁDIZ CF,47,83
445,SHERALDO BECKER,REAL SOCIEDAD,61,83
445,ANTHONY LOZANO,UD ALMERÍA,58,83
448,CARLOS FERNÁNDEZ,REAL SOCIEDAD,44,82
449,ÇAGLAR SÖYÜNCÜ,ATLÉTICO DE MADRID,71,81
449,JESÚS VALLEJO,GRANADA CF,74,81
451,AIHAM HANZ OUSOU,CÁDIZ CF,59,79
452,NJEGOS PETROVIC,GRANADA CF,66,78
453,THOMAS LEMAR,ATLÉTICO DE MADRID,69,77
453,ADNAN JANUZAJ,SEVILLA FC,64,77
453,BERTRAND TRAORÉ,VILLARREAL CF,66,77
456,LUKA ROMERO,UD ALMERÍA,70,76
457,YANNICK CARRASCO,ATLÉTICO DE MADRID,58,75
457,XEBER ALKAIN,DEPORTIVO ALAVÉS,57,75
459,ARNAU PUIGMAL,UD ALMERÍA,57,74
460,JOSEBA ZALDÚA,CÁDIZ CF,44,72
461,BEN BRERETON,VILLARREAL CF,54,69
461,VÍCTOR DÍAZ,GRANADA CF,45,69
461,FERNANDO MARTÍNEZ,UD ALMERÍA,40,69
464,MARKO MILOVANOVIC,UD ALMERÍA,43,67
