Assists_Position,NAME,TEAM,ASSISTS,GAMES,ASSISTS PER MATCH
239,LUÍS MANUEL ARANTES MAXIMIANO,UD ALMERÍA,0,27,0
239,AITOR FERNÁNDEZ,CA OSASUNA,0,5,0
239,RAÚL GARCÍA,CA OSASUNA,0,27,0
239,RAÚL GARCÍA,ATHLETIC CLUB,0,13,0
239,BEÑAT PRADOS,ATHLETIC CLUB,0,20,0
239,CARL STARFELT,RC CELTA,0,23,0
239,CARLOS DOTOR,RC CELTA,0,16,0
239,AXEL WITSEL,ATLÉTICO DE MADRID,0,29,0
239,GORKA RIVERA,GETAFE CF,0,1,0
239,SANTIAGO GARCÍA,GETAFE CF,0,1,0
239,ÁLVARO NEGREDO,CÁDIZ CF,0,7,0
239,MILUTIN OSMAJIC,CÁDIZ CF,0,1,0
239,JOSÉ MARI MARTÍN,CÁDIZ CF,0,3,0
239,SILVI CLUA,GIRONA FC,0,1,0
239,JUAN CRUZ,REAL BETIS,0,5,0
239,ABDUL MUMIN,RAYO VALLECANO,0,13,0
239,TIAGO MANUEL DIAS CORREIA,RAYO VALLECANO,0,16,0
239,JORGE DE FRUTOS,RAYO VALLECANO,0,28,0
239,XEBER ALKAIN,DEPORTIVO ALAVÉS,0,9,0
239,ALBERTO PEREA,GRANADA CF,0,2,0
239,JESÚS CORONA,SEVILLA FC,0,2,0
239,RAFA MIR,SEVILLA FC,0,15,0
239,MARKO DMITROVIC,SEVILLA FC,0,13,0
239,KIKE SALAS,SEVILLA FC,0,16,0
239,JOAN JORDÁN,SEVILLA FC,0,6,0
239,KEPA ARRIZABALAGA REVUELTA,REAL MADRID,0,12,0
239,JOSÉ IGNACIO FERNÁNDEZ IGLESIAS,REAL MADRID,0,22,0
239,RENATO TAPIA,RC CELTA,0,19,0
239,MAXIMILIANO GÓMEZ,CÁDIZ CF,0,24,0
239,KAIKY FERNANDES MELO,UD ALMERÍA,0,8,0
239,LEONARDO MICALI CARRILHO BAPTISTÃO,UD ALMERÍA,0,24,0
239,JUAN PEDRO RAMÍREZ LÓPEZ,GIRONA FC,0,15,0
239,VÍCTOR DÍAZ,GRANADA CF,0,4,0
239,RAÚL FERNÁNDEZ,GRANADA CF,0,4,0
239,ALBERTO SORO,GRANADA CF,0,1,0
239,KIKE BARJA,CA OSASUNA,0,16,0
