Position,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCH
250,DOMINGOS DE SOUSA COUTINHO MENESES DUARTE,GETAFE CF,0,15,0
250,DJENÉ DAKONAM,GETAFE CF,0,26,0
250,MIGUEL RODRÍGUEZ,RC CELTA,0,11,0
250,JOSEPH AIDOO,RC CELTA,0,6,0
250,MANU SÁNCHEZ,RC CELTA,0,24,0
250,FRANCO CERVI,RC CELTA,0,14,0
250,HUGO SOTELO,RC CELTA,0,13,0
250,FRAN BELTRÁN,RC CELTA,0,25,0
250,GABRI VEIGA,RC CELTA,0,1,0
250,IVÁN VILLAR,RC CELTA,0,10,0
250,RAMON TERRATS,VILLARREAL CF,0,14,0
250,FILIP JØRGENSEN,VILLARREAL CF,0,29,0
250,DENIS SUÁREZ,VILLARREAL CF,0,4,0
250,JOHAN MOJICA,CA OSASUNA,0,22,0
250,LUCAS TORRÓ,CA OSASUNA,0,21,0
250,DAVID GARCÍA,CA OSASUNA,0,25,0
250,SERGIO HERRERA,CA OSASUNA,0,26,0
250,JON MONCAYOLA,CA OSASUNA,0,26,0
250,RUBÉN PEÑA,CA OSASUNA,0,21,0
250,ANDREAS CHRISTENSEN,FC BARCELONA,0,22,0
250,ANSU FATI,FC BARCELONA,0,3,0
250,ORIOL ROMEU,FC BARCELONA,0,23,0
250,ALEJANDRO BALDE,FC BARCELONA,0,18,0
250,MARC-ANDRÉ TER STEGEN,FC BARCELONA,0,20,0
250,ABNER VINÍCIUS DA SILVA SANTOS,REAL BETIS,0,18,0
250,RODRIGO SÁNCHEZ RODRÍGUEZ,REAL BETIS,0,22,0
250,PAUL AKOUOKOU,REAL BETIS,0,2,0
250,ANDRÉS GUARDADO,REAL BETIS,0,12,0
250,BORJA IGLESIAS,REAL BETIS,0,11,0
250,RUI TIAGO DANTAS DA SILVA,REAL BETIS,0,21,0
250,LUIZ FELIPE RAMOS MARCHI,REAL BETIS,0,4,0
250,YOUSSOUF SABALY,REAL BETIS,0,6,0
250,LUIZ HENRIQUE ANDRÉ ROSA DA SILVA,REAL BETIS,0,14,0
250,IVÁN ALEJO,CÁDIZ CF,0,26,0
250,RAFAEL JIMÉNEZ JARQUE,CÁDIZ CF,0,24,0
250,CONAN LEDESMA,CÁDIZ CF,0,27,0
250,IZA CARCELÉN,CÁDIZ CF,0,28,0
250,JORGE MERÉ,CÁDIZ CF,0,10,0
250,RUBÉN SOBRINO,CÁDIZ CF,0,25,0
250,ÁLEX FERNÁNDEZ,CÁDIZ CF,0,21,0
250,GONZALO ESCALANTE,CÁDIZ CF,0,19,0
250,THOMAS LEMAR,ATLÉTICO DE MADRID,0,3,0
250,JORGE RESURRECCIÓN MERODIO,ATLÉTICO DE MADRID,0,27,0
250,STEFAN SAVIC,ATLÉTICO DE MADRID,0,18,0
250,ÇAGLAR SÖYÜNCÜ,ATLÉTICO DE MADRID,0,6,0
250,JAN OBLAK,ATLÉTICO DE MADRID,0,30,0
250,CÉSAR AZPILICUETA,ATLÉTICO DE MADRID,0,17,0
250,YANNICK CARRASCO,ATLÉTICO DE MADRID,0,3,0
250,MARIO HERMOSO,ATLÉTICO DE MADRID,0,23,0
250,PABLO BARRIOS,ATLÉTICO DE MADRID,0,19,0
250,JAVI LÓPEZ,DEPORTIVO ALAVÉS,0,26,0
250,MAMADOU SYLLA,DEPORTIVO ALAVÉS,0,2,0
250,RAFA MARÍN,DEPORTIVO ALAVÉS,0,27,0
250,ANTONIO SIVERA,DEPORTIVO ALAVÉS,0,30,0
250,ABDEL ABQAR,DEPORTIVO ALAVÉS,0,21,0
250,MIGUEL DE LA FUENTE,DEPORTIVO ALAVÉS,0,3,0
250,JON GURIDI,DEPORTIVO ALAVÉS,0,29,0
250,ANTONIO BLANCO,DEPORTIVO ALAVÉS,0,27,0
250,JESÚS VALLEJO,GRANADA CF,0,3,0
250,GERARD GUMBAU,GRANADA CF,0,27,0
250,NJEGOS PETROVIC,GRANADA CF,0,10,0
250,ANDRÉ FILIPE MAGALHÃES RIBEIRO FERREIRA,GRANADA CF,0,15,0
250,JOSÉ ANTONIO RODRÍGUEZ DÍAZ,GRANADA CF,0,25,0
250,ÓSCAR MELENDO,GRANADA CF,0,22,0
250,CARLOS NEVA,GRANADA CF,0,29,0
250,SERGIO RUIZ,GRANADA CF,0,27,0
250,JOSÉ CALLEJÓN,GRANADA CF,0,20,0
250,HUGO GONZÁLEZ,VALENCIA CF,0,7,0
250,MIKA MÁRMOL,UD LAS PALMAS,0,28,0
250,RAÚL ALBIOL,VILLARREAL CF,0,22,0
250,BEN BRERETON,VILLARREAL CF,0,14,0
250,MATTEO GABBIA,VILLARREAL CF,0,7,0
250,ARNAU PUIGMAL,UD ALMERÍA,0,11,0
250,IBRAHIMA KONÉ,UD ALMERÍA,0,8,0
250,JUAN BRANDÁRIZ MOVILLA,UD ALMERÍA,0,23,0
250,LUÍS MANUEL ARANTES MAXIMIANO,UD ALMERÍA,0,27,0
250,AITOR FERNÁNDEZ,CA OSASUNA,0,5,0
250,RAÚL GARCÍA,ATHLETIC CLUB,0,13,0
250,BEÑAT PRADOS,ATHLETIC CLUB,0,20,0
250,CARLOS DOTOR,RC CELTA,0,16,0
250,GORKA RIVERA,GETAFE CF,0,1,0
250,SANTIAGO GARCÍA,GETAFE CF,0,1,0
250,ÁLVARO NEGREDO,CÁDIZ CF,0,7,0
250,MILUTIN OSMAJIC,CÁDIZ CF,0,1,0
250,JOSÉ MARI MARTÍN,CÁDIZ CF,0,3,0
250,SILVI CLUA,GIRONA FC,0,1,0
250,JUAN CRUZ,REAL BETIS,0,5,0
250,XEBER ALKAIN,DEPORTIVO ALAVÉS,0,9,0
250,FAMARA DIÉDHIOU,GRANADA CF,0,8,0
250,ALBERTO PEREA,GRANADA CF,0,2,0
250,JESÚS CORONA,SEVILLA FC,0,2,0
250,MARKO DMITROVIC,SEVILLA FC,0,13,0
250,JOAN JORDÁN,SEVILLA FC,0,6,0
250,KEPA ARRIZABALAGA REVUELTA,REAL MADRID,0,12,0
250,JOSÉ IGNACIO FERNÁNDEZ IGLESIAS,REAL MADRID,0,22,0
250,RENATO TAPIA,RC CELTA,0,19,0
250,MAXIMILIANO GÓMEZ,CÁDIZ CF,0,24,0
250,ANTONIO LATORRE GRUESO,RCD MALLORCA,0,23,0
250,JUAN PEDRO RAMÍREZ LÓPEZ,GIRONA FC,0,15,0
250,VÍCTOR DÍAZ,GRANADA CF,0,4,0
250,RAÚL FERNÁNDEZ,GRANADA CF,0,4,0
250,ALBERTO SORO,GRANADA CF,0,1,0
250,JUAN CRUZ ÁLVARO ARMADA,CA OSASUNA,0,20,0
250,KIKE BARJA,CA OSASUNA,0,16,0
250,MARCOS ALONSO,FC BARCELONA,0,4,0
